# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20170603,  184,  143,  237
  260,20170604,  154,   87,  195
  260,20170605,  171,   84,  229
  260,20170606,  141,  110,  174
  260,20170607,  140,  113,  174
  260,20170608,  168,  117,  232
  260,20170609,  165,  130,  196
  260,20170610,  178,  117,  239
  260,20170611,  199,  121,  271
  260,20170612,  161,  145,  178
  260,20170613,  163,   93,  208
  260,20170614,  174,   75,  244
  260,20170615,  200,  120,  264
  260,20170616,  162,  129,  180
  260,20170617,  186,  129,  232
  260,20170618,  208,  111,  278
  260,20170619,  236,  137,  309
  260,20170620,  216,  149,  274
  260,20170621,  214,  131,  291
  260,20170622,  229,  171,  308
  260,20170623,  196,  168,  232
  260,20170624,  171,  163,  179
  260,20170625,  175,  154,  190
  260,20170626,  168,  123,  206
  260,20170627,  173,  113,  218
  260,20170628,  180,  150,  219
  260,20170629,  175,  133,  217
  260,20170630,  162,  116,  208
  260,20170701,  161,  139,  210
  260,20170702,  156,   89,  196
  260,20170703,  166,   81,  220
  260,20170704,  186,  150,  232
  260,20170705,  190,  120,  248
  260,20170706,  199,  108,  265
  260,20170707,  206,  153,  260
  260,20170708,  186,  113,  245
  260,20170709,  172,   91,  232
  260,20170710,  196,  140,  259
  260,20170711,  177,  153,  207
  260,20170712,  149,   89,  182
